drug_id,disease_id,outer_test_fold
0,0,7
0,1,7
0,2,4
0,3,8
0,4,5
0,5,5
0,6,2
0,7,6
0,8,6
0,9,8
0,10,9
0,11,3
0,12,0
0,13,4
0,14,9
0,15,1
1,16,2
1,17,8
1,18,0
1,19,8
1,20,3
1,21,1
1,22,0
1,23,3
1,24,9
1,25,8
1,26,7
1,27,4
1,28,4
1,29,1
1,30,6
1,31,1
1,32,6
1,33,7
1,34,9
1,35,0
1,36,9
1,37,1
1,38,5
1,39,7
1,40,9
1,41,4
1,42,3
1,43,4
1,44,7
1,45,5
1,46,3
1,47,7
1,48,5
1,49,8
1,50,8
1,51,5
1,52,6
1,53,3
1,54,5
1,55,8
1,56,9
1,57,7
1,58,2
1,59,5
1,60,0
1,61,6
1,62,4
1,63,3
1,64,6
1,65,9
1,66,3
1,67,2
1,68,1
1,69,2
1,70,0
1,71,2
1,72,2
1,73,7
1,74,0
1,75,8
1,76,5
1,77,9
1,78,1
1,79,4
1,80,1
1,81,0
1,82,4
1,83,9
1,84,6
1,85,2
1,86,7
1,87,0
1,88,6
1,89,8
2,9,6
2,11,9
2,21,1
2,24,0
2,25,1
2,26,2
2,39,2
2,44,6
2,45,3
2,47,6
2,50,3
2,58,4
2,84,2
2,89,0
2,90,6
2,91,4
2,92,6
2,93,2
2,94,0
2,95,6
2,96,4
2,97,9
2,98,5
2,99,0
2,100,9
2,101,3
2,102,0
2,103,3
2,104,2
2,105,8
2,106,8
2,107,9
2,108,5
2,109,3
2,110,1
2,111,2
2,112,1
2,113,0
2,114,7
2,115,3
2,116,6
2,117,5
2,118,9
2,119,5
2,120,4
2,121,7
2,122,1
2,123,4
2,124,7
2,125,7
2,126,3
2,127,9
2,128,0
2,129,7
2,130,8
2,131,1
2,132,4
2,133,5
2,134,0
2,135,1
2,136,5
2,137,5
2,138,2
2,139,8
2,140,8
2,141,1
2,142,7
2,143,7
2,144,8
2,145,8
2,146,9
2,147,8
2,148,4
2,149,9
3,9,4
3,11,5
3,24,8
3,28,8
3,45,9
3,47,6
3,50,3
3,84,9
3,90,1
3,93,4
3,101,9
3,110,7
3,114,5
3,115,8
3,124,7
3,129,4
3,130,2
3,134,3
3,136,4
3,140,6
3,143,1
3,144,0
3,147,5
3,150,6
3,151,6
3,152,0
3,153,0
3,154,9
3,155,2
3,156,0
3,157,1
3,158,8
3,159,8
3,160,7
3,161,7
3,162,3
3,163,2
3,164,5
3,165,3
3,166,2
3,167,7
3,168,1
4,11,1
4,35,5
4,47,0
4,51,0
4,68,7
4,70,9
4,72,8
4,146,1
4,169,2
4,170,4
4,171,8
4,172,5
4,173,6
4,174,8
4,175,7
4,176,3
4,177,9
4,178,3
4,179,7
4,180,9
4,181,2
4,182,6
4,183,4
5,1,8
5,3,0
5,7,7
5,10,3
5,11,1
5,12,4
5,36,6
5,38,6
5,39,1
5,40,7
5,62,7
5,63,7
5,68,0
5,89,8
5,95,8
5,97,7
5,100,4
5,103,4
5,104,6
5,116,4
5,117,9
5,122,4
5,124,6
5,138,2
5,146,1
5,184,9
5,185,8
5,186,0
5,187,1
5,188,5
5,189,1
5,190,5
5,191,3
5,192,7
5,193,8
5,194,3
5,195,9
5,196,4
5,197,3
5,198,1
5,199,2
5,200,6
5,201,9
5,202,5
5,203,6
5,204,4
5,205,2
5,206,3
5,207,0
5,208,2
5,209,9
5,210,0
5,211,2
5,212,0
5,213,5
5,214,5
5,215,5
