drug_id,disease_id,outer_test_fold
0,24,1
0,48,3
0,144,4
0,329,2
1,39,7
1,57,8
1,58,2
1,171,9
1,284,4
1,299,0
1,319,3
1,323,1
2,107,8
2,244,7
3,42,3
4,137,7
5,73,4
5,99,3
5,128,5
5,181,6
5,376,7
5,392,2
6,206,6
7,179,7
7,230,8
7,242,6
8,173,8
9,93,2
9,94,4
9,130,0
9,268,9
9,282,1
9,283,5
9,301,8
9,310,3
10,89,1
11,73,5
11,128,6
11,392,4
12,93,1
12,130,9
12,268,7
12,282,0
12,301,6
12,310,8
13,285,5
14,61,9
14,93,2
14,94,4
14,130,6
14,232,1
14,258,8
14,268,3
14,282,0
14,301,5
14,310,7
15,263,1
16,202,7
17,264,6
18,30,7
18,281,8
19,9,3
19,10,7
19,37,3
19,174,5
19,214,4
19,220,7
19,270,4
19,283,8
19,342,1
19,354,2
19,357,5
19,366,6
19,369,0
19,391,9
19,408,6
20,199,4
20,228,5
21,209,9
21,210,0
21,262,8
21,394,7
22,3,1
22,93,2
22,130,3
22,268,9
22,271,8
22,282,7
22,301,4
22,310,0
23,80,5
23,328,4
24,125,7
24,133,8
24,378,6
25,124,3
25,405,4
26,94,3
26,124,4
26,221,1
26,405,2
27,12,4
28,183,8
28,322,7
29,44,5
29,47,7
29,75,2
29,99,3
29,160,8
29,164,9
29,325,4
29,373,6
30,76,6
30,123,5
30,361,7
31,133,4
31,160,3
31,243,2
32,124,5
32,405,4
33,247,2
34,1,3
34,37,2
34,134,1
34,135,0
35,267,1
35,297,0
35,332,2
36,1,2
36,73,3
36,99,1
36,128,4
36,392,5
37,68,6
37,124,8
37,405,7
38,351,4
39,137,0
39,372,1
40,64,9
40,73,0
40,89,3
40,99,2
40,117,1
41,124,8
41,145,7
41,269,9
42,28,9
42,382,8
42,404,7
43,124,0
43,405,9
44,157,8
45,351,5
46,95,1
46,118,2
46,243,0
47,18,4
47,163,5
47,314,3
48,94,1
48,124,3
48,129,5
48,182,0
48,196,2
48,316,9
48,405,4
49,7,1
