drug_id,disease_id,outer_test_fold
0,42,3
0,91,5
0,126,7
0,128,6
0,261,1
0,274,4
0,284,2
1,284,2
2,19,4
2,42,1
2,128,3
2,274,2
3,71,3
3,114,4
3,116,5
3,280,6
4,33,7
4,51,4
4,252,6
4,266,5
4,270,8
5,33,7
5,252,6
6,94,8
6,211,9
7,36,6
8,177,5
8,197,6
9,120,6
10,66,2
10,86,8
10,112,0
10,160,9
10,293,1
10,305,3
11,180,1
12,158,5
12,198,6
12,209,4
13,154,0
14,82,6
14,243,8
14,244,7
15,79,1
16,82,1
16,200,3
16,223,4
16,243,2
17,227,9
18,25,5
18,242,4
19,7,9
19,31,5
19,155,4
19,187,6
19,191,2
19,231,8
19,244,7
19,287,1
19,289,0
20,177,7
20,197,8
21,182,4
21,183,3
21,226,2
21,306,1
22,3,3
22,114,4
22,232,5
23,72,9
23,273,8
24,109,9
24,117,0
25,108,9
25,312,8
26,82,0
26,108,8
26,312,9
27,8,9
28,162,7
28,269,8
29,38,3
29,41,4
29,68,8
29,86,7
29,144,9
29,148,2
29,272,1
29,292,0
30,69,4
31,117,7
31,144,8
31,210,9
32,108,0
32,312,9
33,214,5
34,1,5
34,31,4
34,118,7
34,119,6
35,230,7
35,250,8
35,277,6
36,1,3
36,86,4
37,61,5
37,108,6
37,312,4
38,284,1
39,57,1
39,66,9
39,79,8
39,86,0
39,102,2
40,108,2
40,129,3
41,23,6
41,299,7
41,311,5
42,108,7
42,312,8
43,142,8
44,284,2
45,83,6
45,103,5
45,210,7
46,14,4
46,147,3
46,263,2
47,82,3
47,108,2
47,113,6
47,161,5
47,174,1
47,264,0
47,312,4
48,5,6
48,43,3
48,109,7
48,117,9
48,138,5
48,182,4
48,183,1
48,226,2
48,306,8
49,102,2
49,246,4
49,294,1
49,296,0
49,297,3
49,298,5
50,162,6
51,162,9
51,166,0
51,269,1
52,34,8
52,35,7
52,37,9
52,265,0
53,108,4
53,312,5
54,72,4
54,310,3
55,1,0
55,86,9
55,111,1
56,174,8
57,192,5
58,79,9
58,102,0
59,15,4
59,38,8
59,92,6
59,220,5
59,241,7
60,232,8
61,31,4
61,118,5
61,119,3
62,60,8
62,135,9
63,267,2
64,6,7
64,23,6
64,111,8
64,177,9
65,241,2
66,22,6
66,168,7
67,15,6
67,63,7
67,193,5
67,206,9
67,214,4
67,233,0
67,241,8
68,17,8
68,103,7
68,108,0
68,146,2
68,299,1
68,311,9
68,312,6
69,1,2
69,31,1
69,118,0
69,119,9
70,108,1
70,130,0
70,312,9
71,86,3
71,102,7
71,230,1
71,246,5
71,255,2
71,286,6
71,295,4
72,108,3
72,312,4
73,162,1
73,166,9
73,269,0
74,142,9
75,64,0
75,65,1
75,217,9
75,240,2
76,23,6
77,86,9
78,2,1
78,3,4
78,19,6
78,71,5
78,113,8
78,114,9
78,116,7
78,214,3
78,241,0
79,34,0
79,35,7
79,37,8
79,265,9
80,43,6
80,69,5
80,86,9
80,109,0
80,117,8
80,295,7
81,3,0
81,19,9
81,128,8
81,151,7
81,175,1
81,258,3
81,274,2
82,61,9
82,62,2
82,108,1
82,278,0
83,69,0
84,15,4
84,98,5
84,99,7
84,193,3
84,206,6
84,233,2
84,238,1
85,86,5
86,86,3
87,51,2
