dataset,fold,auc,aupr,accuracy,precision,recall,f1,threshold_source,locked_threshold,pseudo_mode
B-dataset,0,0.9504176419690701,0.953689734379851,0.8760917030567685,0.8536960985626283,0.9077510917030568,0.87989417989418,versioned_fixed_validation_f1,-0.6544733047485352,none
B-dataset,1,0.9518945001967817,0.952795409422379,0.8733007069059271,0.8370152184585175,0.9271343121261555,0.8797729618163055,versioned_fixed_validation_f1,-0.745349645614624,none
B-dataset,2,0.9469892355218243,0.9513819188017145,0.8777292576419214,0.8831672203765227,0.8706331877729258,0.8768554150632216,versioned_fixed_validation_f1,-0.4363887310028076,none
B-dataset,3,0.9493674500956678,0.9550293877527892,0.8790016277807922,0.8689910195456947,0.8925664677156809,0.8806209850107067,versioned_fixed_validation_f1,-0.5194331407546997,none
B-dataset,4,0.9532146019564851,0.9590987767533639,0.8847402597402597,0.8806209850107066,0.8901515151515151,0.8853606027987082,versioned_fixed_validation_f1,-0.5025659799575806,none
B-dataset,5,0.9523377031239263,0.9561981629258752,0.8844911147011308,0.8851132686084142,0.8836833602584814,0.8843977364591754,versioned_fixed_validation_f1,-0.41025233268737793,none
B-dataset,6,0.9458211969653573,0.9507528749034052,0.8669376693766938,0.8429584599797366,0.9018970189701897,0.8714323121235926,versioned_fixed_validation_f1,-0.5705893039703369,none
B-dataset,7,0.9546051212631824,0.9552771261562713,0.888647474198805,0.8844707146695325,0.8940793047256925,0.8892490545651,versioned_fixed_validation_f1,-0.5011619329452515,none
B-dataset,8,0.9465130058783026,0.9479875155475358,0.8754089422028354,0.8719611021069692,0.8800436205016358,0.8759837177747626,versioned_fixed_validation_f1,-0.40302205085754395,none
B-dataset,9,0.95061150156967,0.9540703635410805,0.88852637302882,0.8855909336211549,0.8923327895595432,0.8889490790899242,versioned_fixed_validation_f1,-0.4856300354003906,none
C-dataset,0,0.9553413958175863,0.9637553974999012,0.876984126984127,0.8571428571428571,0.9047619047619048,0.8803088803088803,versioned_fixed_validation_f1,-2.1345391273498535,none
C-dataset,1,0.9458815994653598,0.9559958203591318,0.8768656716417911,0.8884615384615384,0.8619402985074627,0.875,versioned_fixed_validation_f1,-1.2996671199798584,none
C-dataset,2,0.9468180998738057,0.9577924562622409,0.872093023255814,0.8404255319148937,0.9186046511627907,0.8777777777777779,versioned_fixed_validation_f1,-2.314882755279541,none
C-dataset,3,0.9676361413813152,0.972826320552492,0.88996138996139,0.8435374149659864,0.9575289575289575,0.8969258589511754,versioned_fixed_validation_f1,-2.6960573196411133,none
C-dataset,4,0.9424143479823149,0.9501814277337706,0.8458498023715415,0.848605577689243,0.841897233201581,0.8452380952380952,versioned_fixed_validation_f1,-1.8123327493667603,none
C-dataset,5,0.9559047995929674,0.9647346015215696,0.8928571428571429,0.9163346613545816,0.8646616541353384,0.8897485493230175,versioned_fixed_validation_f1,-1.5404729843139648,none
C-dataset,6,0.9495138888888889,0.9588531027461927,0.8854166666666666,0.8775510204081632,0.8958333333333334,0.8865979381443299,versioned_fixed_validation_f1,-1.7111399173736572,none
C-dataset,7,0.9606037999396835,0.9677672768612866,0.8884462151394422,0.8979591836734694,0.8764940239043825,0.8870967741935485,versioned_fixed_validation_f1,-1.3312952518463135,none
C-dataset,8,0.9692582412772885,0.9726278550647035,0.9100418410041841,0.9049586776859504,0.9163179916317992,0.9106029106029107,versioned_fixed_validation_f1,-1.2914824485778809,none
C-dataset,9,0.9554723192690138,0.9666778902144554,0.9036885245901639,0.9227467811158798,0.8811475409836066,0.9014675052410902,versioned_fixed_validation_f1,-1.478044033050537,none
F-dataset,0,0.9543950910330548,0.9614512411636944,0.8819095477386935,0.88,0.8844221105527639,0.8822055137844611,versioned_fixed_validation_f1,-1.6784586906433105,none
F-dataset,1,0.9495254892080288,0.9608590530060337,0.8624338624338624,0.8374384236453202,0.8994708994708994,0.8673469387755102,versioned_fixed_validation_f1,-1.602400302886963,none
F-dataset,2,0.952392578125,0.96037942356064,0.9036458333333334,0.8894472361809045,0.921875,0.9053708439897697,versioned_fixed_validation_f1,-1.8604974746704102,none
F-dataset,3,0.9497884114583334,0.9555557769831761,0.8802083333333334,0.8882978723404256,0.8697916666666666,0.8789473684210525,versioned_fixed_validation_f1,-1.1054706573486328,none
F-dataset,4,0.9440631163708088,0.9582345570312586,0.8102564102564103,0.746938775510204,0.9384615384615385,0.8318181818181818,versioned_fixed_validation_f1,-3.103327751159668,none
F-dataset,5,0.9476410111056713,0.9539035600711953,0.8730964467005076,0.855072463768116,0.8984771573604061,0.8762376237623762,versioned_fixed_validation_f1,-2.218228578567505,none
F-dataset,6,0.9329158057851239,0.9515375907394404,0.8721590909090909,0.8786127167630058,0.8636363636363636,0.8710601719197708,versioned_fixed_validation_f1,-1.8827400207519531,none
F-dataset,7,0.9306122448979591,0.9459935641936585,0.8457142857142858,0.8306010928961749,0.8685714285714285,0.8491620111731845,versioned_fixed_validation_f1,-1.48252534866333,none
F-dataset,8,0.9438535437702185,0.955006320021699,0.8787128712871287,0.8430493273542601,0.9306930693069307,0.8847058823529411,versioned_fixed_validation_f1,-2.3416104316711426,none
F-dataset,9,0.9590910092794639,0.965503015661408,0.9061032863849765,0.9061032863849765,0.9061032863849765,0.9061032863849765,versioned_fixed_validation_f1,-1.1858274936676025,none
