dataset,mode,metric,mean,sd
B-dataset,none,auc,0.9501771958540266,0.002979849263288236
B-dataset,none,aupr,0.9536281270184265,0.003113369627505188
B-dataset,none,accuracy,0.8794875128633954,0.007035641121924754
B-dataset,none,precision,0.8693585020939876,0.01841761646655254
B-dataset,none,recall,0.8940272668484877,0.015692191494675593
B-dataset,none,f1,0.8812516044595677,0.005753401095620447
B-dataset,none,mcc,0.7597930377942724,0.013261874145985165
B-dataset,hard,auc,0.948424059725151,0.0028725835125502606
B-dataset,hard,aupr,0.9521662329189216,0.002921691592638365
B-dataset,hard,accuracy,0.8784059841641435,0.0073483132661658415
B-dataset,hard,precision,0.8685533856329501,0.019212614134434584
B-dataset,hard,recall,0.8926890579084776,0.01714882174135168
B-dataset,hard,f1,0.8801507198714186,0.0061097454221621245
B-dataset,hard,mcc,0.7576781316158406,0.013844458868798322
B-dataset,weighted,auc,0.9495908388478377,0.0029293809743388246
B-dataset,weighted,aupr,0.9531528663785398,0.0030264538508829306
B-dataset,weighted,accuracy,0.8797598362348001,0.006374628108398897
B-dataset,weighted,precision,0.8717139654832117,0.018203440022550428
B-dataset,weighted,recall,0.891434405289744,0.017165408710071512
B-dataset,weighted,f1,0.8811703835313288,0.005283065950320557
B-dataset,weighted,mcc,0.7602712697913475,0.011911943873792338
C-dataset,none,auc,0.9548844633488223,0.009030698684885576
C-dataset,none,aupr,0.9631212148815745,0.007353216281901214
C-dataset,none,accuracy,0.8842204404472263,0.017945681177950534
C-dataset,none,precision,0.8797723244412563,0.030864861209879704
C-dataset,none,recall,0.8919187589151157,0.033813508678667684
C-dataset,none,f1,0.8850764289780825,0.01780614817392424
C-dataset,none,mcc,0.7698921870294517,0.0360850683003208
C-dataset,hard,auc,0.9548570283520542,0.009047376463706281
C-dataset,hard,aupr,0.9631021132833654,0.007343709085062439
C-dataset,hard,accuracy,0.8863467642047131,0.01805885486759616
C-dataset,hard,precision,0.8804058510818539,0.030225967627310727
C-dataset,hard,recall,0.8958163523342518,0.031050471382635093
C-dataset,hard,f1,0.8874168304354546,0.017637763689503833
C-dataset,hard,mcc,0.7739913549866354,0.03619186017212884
C-dataset,weighted,auc,0.9548688610810947,0.009046108342723264
C-dataset,weighted,aupr,0.9631095317658811,0.00735624503123986
C-dataset,weighted,accuracy,0.8836475207404006,0.01804099970518549
C-dataset,weighted,precision,0.8786727625040557,0.032391129116995244
C-dataset,weighted,recall,0.8923268328501267,0.03470935818164968
C-dataset,weighted,f1,0.8846335537800176,0.017736210089821916
C-dataset,weighted,mcc,0.7689276027650636,0.0361154242621433
F-dataset,none,auc,0.9464278301033662,0.008985783446792963
F-dataset,none,aupr,0.9568424102432204,0.005640443510831935
F-dataset,none,accuracy,0.8714239968091622,0.027824373347093444
F-dataset,none,precision,0.8555561194843386,0.04571668995528423
F-dataset,none,recall,0.8981502520411974,0.026605735993923265
F-dataset,none,f1,0.8752957822382225,0.022751135278042317
F-dataset,none,mcc,0.7458572602833813,0.05062823374951226
F-dataset,hard,auc,0.9463772862562605,0.008978096790591509
F-dataset,hard,aupr,0.9568145786853883,0.00562524711253338
F-dataset,hard,accuracy,0.8722445890369948,0.027215402261286457
F-dataset,hard,precision,0.8582231146778486,0.047632963872933434
F-dataset,hard,recall,0.8966675257624676,0.027173408077529132
F-dataset,hard,f1,0.8758482667765157,0.021978104849698806
F-dataset,hard,mcc,0.7475717347658624,0.049519702943396526
F-dataset,weighted,auc,0.9464154238527295,0.008969486992017715
F-dataset,weighted,aupr,0.9568250883841776,0.005624515571673525
F-dataset,weighted,accuracy,0.8706127902126143,0.02749793416532807
F-dataset,weighted,precision,0.8545681491614175,0.045308863083736904
F-dataset,weighted,recall,0.8976219556500004,0.027198705720238855
F-dataset,weighted,f1,0.8745216477651038,0.02249992735122598
F-dataset,weighted,mcc,0.7442700429291176,0.050044317893737006
