dataset,metric,comparison,mean_difference,ci95_low,ci95_high,p_raw,rank_biserial,nonzero_pairs,p_holm
B-dataset,auc,hard-minus-none,-0.001753136128875754,-0.0021256667535257344,-0.0013797157705639348,0.001953125,-1.0,10,0.00390625
B-dataset,auc,weighted-minus-none,-0.0005863570061891866,-0.0007581680205154373,-0.0004126725765739444,0.001953125,-1.0,10,0.00390625
B-dataset,aupr,hard-minus-none,-0.001461894099505079,-0.0017541354813031963,-0.0011647802537844898,0.001953125,-1.0,10,0.00390625
B-dataset,aupr,weighted-minus-none,-0.00047526063988668766,-0.0006091936072671147,-0.0003381037533647935,0.001953125,-1.0,10,0.00390625
B-dataset,f1,hard-minus-none,-0.0011008845881492312,-0.002713671510348392,0.0010091932565987863,0.10546875,-0.6,10,0.2109375
B-dataset,f1,weighted-minus-none,-8.122092823894533e-05,-0.0014068397013003158,0.0013579208455594793,0.845703125,-0.09090909090909091,10,0.845703125
C-dataset,auc,hard-minus-none,-2.7434996768160858e-05,-5.2771194842771705e-05,-4.6626091370624565e-06,0.078125,-0.7857142857142857,7,0.15625
C-dataset,auc,weighted-minus-none,-1.560226772752138e-05,-3.6983047069748254e-05,6.137849684118291e-06,0.25,-0.5,8,0.25
C-dataset,aupr,hard-minus-none,-1.9101598208937087e-05,-3.8120296652921494e-05,-2.648366790600207e-06,0.064453125,-0.6727272727272727,10,0.12890625
C-dataset,aupr,weighted-minus-none,-1.1683115693306157e-05,-2.9444339479145486e-05,5.86778946568196e-06,0.232421875,-0.45454545454545453,10,0.232421875
C-dataset,f1,hard-minus-none,0.0023404014573719656,0.00026377280530059943,0.0047401092395002896,0.078125,0.7222222222222222,8,0.15625
C-dataset,f1,weighted-minus-none,-0.0004428751980649848,-0.0016232483759572758,0.0007507286598169571,0.578125,-0.2857142857142857,7,0.578125
F-dataset,auc,hard-minus-none,-5.0543847105744e-05,-0.00010551488346520227,-2.9880140487051322e-06,0.25,-0.4666666666666667,9,0.5
F-dataset,auc,weighted-minus-none,-1.2406250636776139e-05,-3.2318131432849946e-05,9.20089762354026e-06,0.46875,-0.35714285714285715,7,0.5
F-dataset,aupr,hard-minus-none,-2.7831557832092013e-05,-6.446708244921551e-05,7.501257590968048e-06,0.193359375,-0.4909090909090909,10,0.38671875
F-dataset,aupr,weighted-minus-none,-1.732185904285144e-05,-3.573939496536172e-05,4.970470878432137e-07,0.1953125,-0.5555555555555556,8,0.38671875
F-dataset,f1,hard-minus-none,0.0005524845382933851,-0.001217921385079035,0.002347222509565616,0.578125,0.2857142857142857,7,0.625
F-dataset,f1,weighted-minus-none,-0.000774134473118715,-0.001731864755040824,0.0002479149825398874,0.3125,-0.5238095238095238,6,0.625
